Name: Gautam Singh
ID: CS21BTECH11018
keyword: pp
constant: 1
punctuator: :
keyword: pp
constant: 2
punctuator: :
keyword: pp
constant: 3
punctuator: :
keyword: pp
constant: 4
punctuator: :
keyword: integer_2
identifier: /get_Ascii
punctuator: (
keyword: character_1
identifier: +x
punctuator: )
keyword: pp
constant: 5
punctuator: :
punctuator: [
keyword: pp
constant: 6 
punctuator: :
keyword: return
punctuator: (
keyword: integer_2
punctuator: )
punctuator: (
identifier: +x
punctuator: )
punctuator: ;
keyword: pp
constant: 7
punctuator: :
punctuator: ]
keyword: pp
constant: 8
punctuator: :
keyword: pp
constant: 9
punctuator: :
keyword: integer_2
identifier: _inc
punctuator: (
keyword: integer_2
identifier: *t
punctuator: )
keyword: pp
constant: 10
punctuator: :
punctuator: [
keyword: pp
constant: 11
punctuator: :
keyword: return
identifier: *t
operator: +
constant: 1
punctuator: ;
keyword: pp
constant: 12
punctuator: :
punctuator: ]
keyword: pp
constant: 13
punctuator: :
keyword: pp
constant: 14
punctuator: :
keyword: null
identifier: main
punctuator: (
punctuator: )
keyword: pp
constant: 15
punctuator: :
punctuator: [
keyword: pp
constant: 16
punctuator: :
keyword: character_1
identifier: ch
operator: =
constant: 'o'
punctuator: ;
keyword: pp
constant: 17
punctuator: :
keyword: integer_2
identifier: begin
operator: =
identifier: /get_Ascii
punctuator: (
identifier: _inc
punctuator: (
punctuator: (
keyword: integer_2
punctuator: )
identifier: ch
punctuator: )
punctuator: )
punctuator: ;
keyword: pp
constant: 18
punctuator: :
punctuator: ]
keyword: pp
constant: 19
punctuator: :
keyword: pp
constant: 20
punctuator: :
